title,type,genres,releaseYear,imdbAverageRating
Forrest Gump,movie,"Drama, Romance",1994,8.8
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,7.6
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003,8.2
Jarhead,movie,"Biography, Drama, War",2005,7
Unforgiven,movie,"Drama, Western",1992,8.2
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,8.3
Amores Perros,movie,"Drama, Thriller",2000,8
A History of Violence,movie,"Action, Crime, Drama",2005,7.4
2001: A Space Odyssey,movie,"Adventure, Sci-Fi",1968,8.3
Talk to Her,movie,"Drama, Mystery, Romance",2002,7.9
8 Mile,movie,"Drama, Music",2002,7.2
Paradise Now,movie,"Crime, Drama, Thriller",2005,7.4
Million Dollar Baby,movie,"Drama, Sport",2004,8.1
Billy Elliot,movie,"Drama, Music",2000,7.7
American History X,movie,"Crime, Drama",1998,8.5
War of the Worlds,movie,"Action, Adventure, Sci-Fi",2005,6.5
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,6.4
Before Sunrise,movie,"Drama, Romance",1995,8.1
Memento,movie,"Mystery, Thriller",2000,8.4
Hero,movie,"Action, Adventure, Drama",2002,7.9
Before Sunset,movie,"Drama, Romance",2004,8.1
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,8
Miami Vice,movie,"Action, Crime, Drama",2006,6.1
Raiders of the Lost Ark,movie,"Action, Adventure",1981,8.4
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,7.5
Dirty Dancing,movie,"Drama, Music, Romance",1987,7.1
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,8.2
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,7.4
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,6.6
Gladiator,movie,"Action, Adventure, Drama",2000,8.5
All About My Mother,movie,"Comedy, Drama, Romance",1999,7.8
"Lock, Stock and Two Smoking Barrels",movie,"Action, Comedy, Crime",1998,8.1
Léon: The Professional,movie,"Action, Crime, Drama",1994,8.5
Open Hearts,movie,"Drama, Romance",2002,7.5
Taxi Driver,movie,"Crime, Drama",1976,8.2
Run Lola Run,movie,"Action, Crime, Thriller",1998,7.6
Snatch,movie,"Comedy, Crime",2000,8.2
Scarface,movie,"Crime, Drama",1983,8.3
Italian for Beginners,movie,"Comedy, Drama, Romance",2000,7
The Big Lebowski,movie,"Comedy, Crime",1998,8.1
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,6.7
The Lord of the Rings: The Fellowship of the Ring,movie,"Action, Adventure, Drama",2001,8.9
The Lord of the Rings: The Two Towers,movie,"Action, Adventure, Drama",2002,8.8
The Lord of the Rings: The Return of the King,movie,"Action, Adventure, Drama",2003,9
Princess Mononoke,movie,"Action, Adventure, Animation",1997,8.3
Spirited Away,movie,"Adventure, Animation, Family",2001,8.6
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993,8
Bad Education,movie,"Crime, Drama",2004,7.4
Brokeback Mountain,movie,"Drama, Romance",2005,7.7
Akira,movie,"Action, Animation, Drama",1988,8
Lost in Translation,movie,"Comedy, Drama",2003,7.7
The Dark Knight,movie,"Action, Crime, Drama",2008,9
Ocean's Eleven,movie,"Crime, Thriller",2001,7.7
Ocean's Twelve,movie,"Crime, Thriller",2004,6.5
Saw,movie,"Horror, Mystery, Thriller",2004,7.6
Jackie Brown,movie,"Crime, Drama, Thriller",1997,7.5
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014,6.5
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986,7.7
Amélie,movie,"Comedy, Romance",2001,8.3
The Wages of Fear,movie,"Adventure, Drama, Thriller",1953,8.1
Saw III,movie,"Horror, Mystery, Thriller",2006,6.2
Saw II,movie,"Horror, Mystery",2005,6.6
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008,6.2
Volver,movie,"Comedy, Drama",2006,7.6
Syriana,movie,"Drama, Thriller",2005,6.9
Stand by Me,movie,"Adventure, Comedy, Drama",1986,8.1
The Godfather,movie,"Crime, Drama",1972,9.2
The Godfather Part II,movie,"Crime, Drama",1974,9
King Kong,movie,"Action, Adventure, Romance",2005,7.2
Live Flesh,movie,Drama,1997,7.3
Batman Begins,movie,"Action, Crime, Drama",2005,8.2
The Shawshank Redemption,movie,Drama,1994,9.3
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991,8.6
A River Runs Through It,movie,Drama,1992,7.2
